category,url,title,views,tags,title_clean,title_tokens,title_lemmas,named_entities
Политика,https://rsport.ria.ru/20250429/stupak-2014106405.html,вяльбе поддержала участие ступак в партийных выборах,25,"['Политика', 'Лыжные гонки', 'Республика Коми', 'Сосногорск (район)']",вяльбе поддержала участие ступак партийных выборах,"['вяльбе', 'поддержала', 'участие', 'ступак', 'партийных', 'выборах']","['вяльбе', 'поддержать', 'участие', 'ступак', 'партийный', 'выбор']","[('вяльбе', 'PER')]"
Политика,https://ria.ru/20250429/putin-2014072360.html,путин прилетел в волгоград,1825,"['Политика', 'Волгоград', 'Россия', 'Владимир Путин', 'Александр Лукашенко']",путин прилетел волгоград,"['путин', 'прилетел', 'волгоград']","['путин', 'прилететь', 'волгоград']","[('путин', 'PER'), ('волгоград', 'LOC')]"
Политика,https://ria.ru/20250429/volodin-2014019151.html,володин назвал защиту исторической правды одним из приоритетов сг,263,"['Политика', 'Белоруссия', 'Волгоград', 'Владимир Путин']",володин назвал защиту исторической правды одним приоритетов сг,"['володин', 'назвал', 'защиту', 'исторической', 'правды', 'одним', 'приоритетов', 'сг']","['володин', 'назвать', 'защита', 'исторический', 'правда', 'одним', 'приоритет', 'сг']","[('володин', 'PER'), ('сг', 'ORG')]"
Политика,https://ria.ru/20250429/peskov-2014002713.html,песков высказался о легитимности зеленского на посту президента,9770,"['Политика', 'Россия', 'Дмитрий Песков', 'Владимир Зеленский', 'Украина']",песков высказался легитимности зеленского посту президента,"['песков', 'высказался', 'легитимности', 'зеленского', 'посту', 'президента']","['песков', 'высказаться', 'легитимность', 'зеленского', 'пост', 'президент']","[('песков', 'PER')]"
Политика,https://ria.ru/20250429/klishas-2013972100.html,сенатор клишас шуткой отреагировал на слова володина о нем,11183,"['Политика', 'Госдума РФ', 'Андрей Клишас', 'Вячеслав Володин']",сенатор клишас шуткой отреагировал слова володина нем,"['сенатор', 'клишас', 'шуткой', 'отреагировал', 'слова', 'володина', 'нем']","['сенатор', 'клишас', 'шутка', 'отреагировать', 'слово', 'володин', 'нем']","[('клишас шуткой', 'PER')]"
Политика,https://ria.ru/20250428/peskov-2013908242.html,в кремле рассказали об обмене информацией с сша,1489,"['Политика', 'США', 'Россия', 'Дмитрий Песков']",кремле рассказали обмене информацией сша,"['кремле', 'рассказали', 'обмене', 'информацией', 'сша']","['кремль', 'рассказать', 'обмен', 'информация', 'сша']","[('кремле', 'LOC'), ('сша', 'LOC')]"
Политика,https://ria.ru/20250428/putin-2013881643.html,путин встретился с губернатором петербурга,1393,"['Политика', 'Санкт-Петербург', 'Россия', 'Владимир Путин']",путин встретился губернатором петербурга,"['путин', 'встретился', 'губернатором', 'петербурга']","['путин', 'встретиться', 'губернатор', 'петербург']","[('путин', 'PER'), ('петербурга', 'LOC')]"
Политика,https://ria.ru/20250428/putin-2013861564.html,путин встретился с матвиенко,893,"['Политика', 'Валентина Матвиенко', 'Владимир Путин', 'Санкт-Петербург']",путин встретился матвиенко,"['путин', 'встретился', 'матвиенко']","['путин', 'встретиться', 'матвиенко']","[('путин', 'PER'), ('матвиенко', 'PER')]"
Политика,https://ria.ru/20250428/putin-2013855103.html,путин встретился с володиным,734,"['Политика', 'Санкт-Петербург', 'Владимир Путин', 'Вячеслав Володин']",путин встретился володиным,"['путин', 'встретился', 'володиным']","['путин', 'встретиться', 'володиным']","[('путин', 'PER')]"
Политика,https://ria.ru/20250428/putin-2013850499.html,путин поблагодарил парламентариев за активную работу,236,"['Политика', 'Россия', 'Санкт-Петербург', 'Владимир Путин']",путин поблагодарил парламентариев активную работу,"['путин', 'поблагодарил', 'парламентариев', 'активную', 'работу']","['путин', 'поблагодарить', 'парламентарий', 'активный', 'работа']","[('путин', 'PER')]"
